a,b,c,isValid,isTriangle
1,1,1,true,true
1,1,2,true,false
1,1,50,true,false
1,1,99,true,false
1,1,100,true,false
1,2,1,true,false
1,2,2,true,true
1,2,50,true,false
1,2,99,true,false
1,2,100,true,false
1,50,1,true,false
1,50,2,true,false
1,50,50,true,true
1,50,99,true,false
1,50,100,true,false
1,99,1,true,false
1,99,2,true,false
1,99,50,true,false
1,99,99,true,true
1,99,100,true,false
1,100,1,true,false
1,100,2,true,false
1,100,50,true,false
1,100,99,true,false
1,100,100,true,true
2,1,1,true,false
2,1,2,true,true
2,1,50,true,false
2,1,99,true,false
2,1,100,true,false
2,2,1,true,true
2,2,2,true,true
2,2,50,true,false
2,2,99,true,false
2,2,100,true,false
2,50,1,true,false
2,50,2,true,false
2,50,50,true,true
2,50,99,true,false
2,50,100,true,false
2,99,1,true,false
2,99,2,true,false
2,99,50,true,false
2,99,99,true,true
2,99,100,true,true
2,100,1,true,false
2,100,2,true,false
2,100,50,true,false
2,100,99,true,true
2,100,100,true,true
50,1,1,true,false
50,1,2,true,false
50,1,50,true,true
50,1,99,true,false
50,1,100,true,false
50,2,1,true,false
50,2,2,true,false
50,2,50,true,true
50,2,99,true,false
50,2,100,true,false
50,50,1,true,true
50,50,2,true,true
50,50,50,true,true
50,50,99,true,true
50,50,100,true,false
50,99,1,true,false
50,99,2,true,false
50,99,50,true,true
50,99,99,true,true
50,99,100,true,true
50,100,1,true,false
50,100,2,true,false
50,100,50,true,false
50,100,99,true,true
50,100,100,true,true
99,1,1,true,false
99,1,2,true,false
99,1,50,true,false
99,1,99,true,true
99,1,100,true,false
99,2,1,true,false
99,2,2,true,false
99,2,50,true,false
99,2,99,true,true
99,2,100,true,true
99,50,1,true,false
99,50,2,true,false
99,50,50,true,true
99,50,99,true,true
99,50,100,true,true
99,99,1,true,true
99,99,2,true,true
99,99,50,true,true
99,99,99,true,true
99,99,100,true,true
99,100,1,true,false
99,100,2,true,true
99,100,50,true,true
99,100,99,true,true
99,100,100,true,true
100,1,1,true,false
100,1,2,true,false
100,1,50,true,false
100,1,99,true,false
100,1,100,true,true
100,2,1,true,false
100,2,2,true,false
100,2,50,true,false
100,2,99,true,true
100,2,100,true,true
100,50,1,true,false
100,50,2,true,false
100,50,50,true,false
100,50,99,true,true
100,50,100,true,true
100,99,1,true,false
100,99,2,true,true
100,99,50,true,true
100,99,99,true,true
100,99,100,true,true
100,100,1,true,true
100,100,2,true,true
100,100,50,true,true
100,100,99,true,true
100,100,100,true,true
